Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - WER = 0.4
# File (23_F_5.wav):
# - 3.6654375 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said thisiness asd prefered news cudtigary'
# - processed in 3.703 seconds.
# - WER = 0.833
# File (23_F_6.wav):
# - 3.2634375 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how a des then new scarwork'
# - processed in 3.29 seconds.
# - WER = 0.833
# File (23_F_7.wav):
# - 2.6485625 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'will it rain to day in mencioster'
# - processed in 2.675 seconds.
# - WER = 0.5
# File (23_F_8.wav):
# - 3.5471875 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what's the weather going to be like in someday'
# - processed in 3.655 seconds.
# - WER = 0.2
# File (23_F_9.wav):
# - 2.3293125 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'do i need an amprella to morrow'
# - processed in 2.351 seconds.
# - WER = 0.5
# File (23_G_1.wav):
# - 3.3935 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does it take from long anto live a pop i car'
# - processed in 3.492 seconds.
# - WER = 0.545
# File (23_G_2.wav):
# - 4.256625 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'sert man occasion to cannington rode for in london'
# - processed in 4.398 seconds.
# - WER = 0.667
# File (23_G_3.wav):
# - 3.4053125 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i need have with mevication'
# - processed in 3.413 seconds.
# - WER = 0.4
# File (23_G_4.wav):
# - 4.0793125 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'what rest oront i wetten five kilemeches'
# - processed in 4.112 seconds.
# - WER = 0.833
# File (23_G_5.wav):
# - 4.15025 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far is thith to the university of oxford'
# - processed in 4.194 seconds.
# - WER = 0.111
# File (23_G_6.wav):
# - 5.2971875 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long does it take from bucking him palace to to off nondon on food'
# - processed in 5.44 seconds.
# - WER = 0.429
# File (23_G_7.wav):
# - 2.47125 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'find me up burgerrestrom mepy'
# - processed in 2.463 seconds.
# - WER = 0.667
# File (23_G_8.wav):
# - 2.932375 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's the eddress of the nearest tesucotore'
# - processed in 3.009 seconds.
# - WER = 0.333
# File (23_H_1.wav):
# - 2.861375 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet are in a mile'
# - processed in 2.868 seconds.
# - WER = 0.0
# File (23_H_2.wav):
# - 2.554 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what saven times forty four'
# - processed in 2.573 seconds.
# - WER = 0.333
# File (23_H_3.wav):
# - 3.937375 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'whats to hundred twenty five divided by five'
# - processed in 4.028 seconds.
# - WER = 0.333
# File (23_H_4.wav):
# - 3.0860625 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what's fifteen per cent of one hundred twenty eight'
# - processed in 3.202 seconds.
# - WER = 0.222
# File (23_H_5.wav):
# - 3.736375 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is three hundred thirty seven a prime number'
# - processed in 3.809 seconds.
# - WER = 0.0
# File (23_I_1.wav):
# - 1.974625 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the definition of kat'
# - processed in 2.02 seconds.
# - WER = 0.167
# File (23_I_2.wav):
# - 2.1638125 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'what thus to share mean'
# - processed in 2.171 seconds.
# - WER = 0.2
# File (23_I_3.wav):
# - 1.9628125 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how un do yous spaltate'
# - processed in 1.975 seconds.
# - WER = 0.8
# File (23_I_4.wav):
# - 2.648625 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'ten yo words that's sdart wirth te nae'
# - processed in 2.675 seconds.
# - WER = 0.875
# File (23_I_5.wav):
# - 3.2043125 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which words contained se o en'
# - processed in 3.221 seconds.
# - WER = 0.5
# File (23_I_6.wav):
# - 1.6435625 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you translate cat'
# - processed in 1.667 seconds.
# - WER = 0.0
# File (23_I_7.wav):
# - 1.88 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what astark and cherman'
# - processed in 1.883 seconds.
# - WER = 0.8
# File (23_I_8.wav):
# - 4.292125 seconds long.
# - actual    text: 'set the number of words for translation to three'
# - processed text: 'sat menumber of words fortunes slation to three'
# - processed in 4.429 seconds.
# - WER = 0.556
# File (23_I_9.wav):
# - 3.050625 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another word for desh part'
# - processed in 3.094 seconds.
# - WER = 0.333
# File (23_J_1.wav):
# - 3.0860625 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on the living room lights please'
# - processed in 3.187 seconds.
# - WER = 0.0
# File (23_J_2.wav):
# - 3.606375 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'said the temperature and the kitchen to twenty two degrees'
# - processed in 3.827 seconds.
# - WER = 0.2
# File (23_J_3.wav):
# - 3.251625 seconds long.
# - actual    text: 'set the shutters to fifty percent'
# - processed text: 'sait the shatters to fifty percent'
# - processed in 3.293 seconds.
# - WER = 0.333
# File (23_J_4.wav):
# - 2.7668125 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'please knower that blinds by haf'
# - processed in 2.828 seconds.
# - WER = 0.5
# File (23_K_1.wav):
# - 2.1283125 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how old is queen a little bet'
# - processed in 2.128 seconds.
# - WER = 0.6
# File (23_K_10.wav):
# - 1.3656875 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.385 seconds.
# - WER = 0.0
# File (23_K_11.wav):
# - 1.8031875 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music dreyou life'
# - processed in 1.82 seconds.
# - WER = 0.429
# File (23_K_2.wav):
# - 2.376625 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'how many people iv enough dralia'
# - processed in 2.407 seconds.
# - WER = 0.5
# File (23_K_3.wav):
# - 2.9441875 seconds long.
# - actual    text: 'what the height of the eiffel tower'
# - processed text: 'but the hight of the ife for tower'
# - processed in 2.983 seconds.
# - WER = 0.571
# File (23_K_4.wav):
# - 2.2701875 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how nong as the rumer ten youk'
# - processed in 2.29 seconds.
# - WER = 0.833
# File (23_K_5.wav):
# - 2.932375 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'hot on es to tonus mountain in the oves'
# - processed in 2.988 seconds.
# - WER = 0.667
# File (23_K_6.wav):
# - 2.4475625 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which movie ste tum cruse playan'
# - processed in 2.454 seconds.
# - WER = 0.857
# File (23_K_7.wav):
# - 1.673125 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do you dream ubout'
# - processed in 1.706 seconds.
# - WER = 0.2
# File (23_K_8.wav):
# - 1.5785 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite conar'
# - processed in 1.603 seconds.
# - WER = 0.4
# File (23_K_9.wav):
# - 2.5835625 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you do when i'm not a ton'
# - processed in 2.622 seconds.
# - WER = 0.2
# File (24_A_1.wav):
# - 2.311375 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'as the una turn on the lights'
# - processed in 2.34 seconds.
# - WER = 0.6
# File (24_A_2.wav):
# - 2.4765 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'minow turn on the lights'
# - processed in 2.507 seconds.
# - WER = 0.2
# File (24_A_3.wav):
# - 2.452875 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'artermiss turn on the lights'
# - processed in 2.505 seconds.
# - WER = 0.2
# File (24_A_4.wav):
# - 2.17775 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'prayar turn on te thights'
# - processed in 2.179 seconds.
# - WER = 0.6
# File (24_A_5.wav):
# - 2.4371875 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'chames turn on the lights'
# - processed in 2.469 seconds.
# - WER = 0.2
# File (24_A_6.wav):
# - 2.618 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on the lights'
# - processed in 2.666 seconds.
# - WER = 0.0
# File (24_B_1.wav):
# - 2.2720625 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute un nute'
# - processed in 2.287 seconds.
# - WER = 1.0
# File (24_B_2.wav):
# - 2.0598125 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop a board'
# - processed in 2.069 seconds.
# - WER = 1.0
# File (24_B_3.wav):
# - 2.169875 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pass whisum'
# - processed in 2.135 seconds.
# - WER = 1.0
# File (24_B_4.wav):
# - 2.0598125 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 2.058 seconds.
# - WER = 0.0
# File (24_B_5.wav):
# - 1.03775 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 1.049 seconds.
# - WER = 0.0
# File (24_B_6.wav):
# - 1.8239375 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turnd the wolliam town'
# - processed in 1.821 seconds.
# - WER = 0.75
# File (24_B_7.wav):
# - 1.8396875 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'said morum to six'
# - processed in 1.848 seconds.
# - WER = 0.5
# File (24_C_1.wav):
# - 2.3428125 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'place same music by ponjo we'
# - processed in 2.361 seconds.
# - WER = 0.667
# File (24_C_2.wav):
# - 2.3743125 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my eighties fo ock playlist now'
# - processed in 2.402 seconds.
# - WER = 0.333
# File (24_C_3.wav):
# - 2.311375 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what song is curntly playing'
# - processed in 2.338 seconds.
# - WER = 0.2
# File (24_C_4.wav):
# - 2.5315 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please at this song to my favorites'
# - processed in 2.553 seconds.
# - WER = 0.286
# File (24_C_5.wav):
# - 2.767375 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do was the music skip'
# - processed in 2.806 seconds.
# - WER = 0.25
# File (24_D_1.wav):
# - 2.6730625 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'ceit an allarm ful five amplies'
# - processed in 2.71 seconds.
# - WER = 0.714
# File (24_D_2.wav):
# - 3.3176875 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time is left on my pitar timea'
# - processed in 3.366 seconds.
# - WER = 0.222
# File (24_D_3.wav):
# - 3.3334375 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remignd me of the tennistr aning to night i five'
# - processed in 3.442 seconds.
# - WER = 0.667
# File (24_D_4.wav):
# - 1.8396875 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancil or my time us'
# - processed in 1.852 seconds.
# - WER = 1.0
# File (24_D_5.wav):
# - 1.147875 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'whath the dat'
# - processed in 1.151 seconds.
# - WER = 0.75
# File (24_D_6.wav):
# - 2.39 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'wern is euster sunday thes year'
# - processed in 2.396 seconds.
# - WER = 0.5
# File (24_E_1.wav):
# - 2.54725 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at merd and chese to my shopping list'
# - processed in 2.596 seconds.
# - WER = 0.375
# File (24_E_2.wav):
# - 1.9969375 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'create a new apointment'
# - processed in 2.032 seconds.
# - WER = 0.25
# File (24_E_3.wav):
# - 5.4875625 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'puth doctors mith on my calennerv hol nineteenhs of jhuly at five pim'
# - processed in 5.779 seconds.
# - WER = 0.615
# File (24_E_4.wav):
# - 2.594375 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remight me to moles alon next setoty'
# - processed in 2.644 seconds.
# - WER = 0.625
# File (24_E_5.wav):
# - 2.54725 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'wat remind us do i have for the sweakened'
# - processed in 2.559 seconds.
# - WER = 0.625
