Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# File (5639-40744-0016.flac):
# - 9.49 seconds long.
# - actual    text: 'on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go'
# - processed text: 'on the contrary he resolved to tell them that repenting of his violence and moved by a tear had only carried her half way towards his house and then let her go'
# - processed in 53.538 seconds.
# - WER = 0.091
# File (5639-40744-0017.flac):
# - 5.88 seconds long.
# - actual    text: 'choking with emotion leocadi made a sign to her parents that she wished to be alone with them'
# - processed text: 'choking with emotionally accadia made a sign to her parents that she wished to be alone with them'
# - processed in 33.266 seconds.
# - WER = 0.111
# File (5639-40744-0018.flac):
# - 15.4149375 seconds long.
# - actual    text: 'that would be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image has been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there'
# - processed text: 'that will be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image had been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there'
# - processed in 87.855 seconds.
# - WER = 0.034
# File (5639-40744-0019.flac):
# - 12.06 seconds long.
# - actual    text: 'what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will deign to vindicate your cause by its righteous judgment'
# - processed text: 'what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will gain to vindicate your case by his righteous judgment'
# - processed in 67.843 seconds.
# - WER = 0.086
# File (5639-40744-0020.flac):
# - 9.82 seconds long.
# - actual    text: 'thus did this humane and right minded father comfort his unhappy daughter and her mother embracing her again did all she could to soothe her feelings'
# - processed text: 'thus to the human and right minded father comfort his unhappy daughter and her mother embracing her again had all she could to soothe the feelings'
# - processed in 55.127 seconds.
# - WER = 0.192
# File (5639-40744-0021.flac):
# - 10.98 seconds long.
# - actual    text: 'she meanwhile passed her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest it should read her misfortune in her face'
# - processed text: 'she meanwhile pass her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest he should read her misfortune in her face'
# - processed in 61.894 seconds.
# - WER = 0.067
# File (5639-40744-0022.flac):
# - 13.645 seconds long.
# - actual    text: 'time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen'
# - processed text: 'time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen'
# - processed in 76.208 seconds.
# - WER = 0.026
# File (5639-40744-0023.flac):
# - 13.92 seconds long.
# - actual    text: 'when the boy walked through the streets blessings were showered upon him by all who saw him blessings upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him up so well'
# - processed text: 'and the boy walked through the streets blessings were showered upon him by all who saw him blessing upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him out so well'
# - processed in 78.243 seconds.
# - WER = 0.073
# File (5639-40744-0024.flac):
# - 8.845 seconds long.
# - actual    text: 'one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen'
# - processed text: 'one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen'
# - processed in 50.49 seconds.
# - WER = 0.0
# File (5639-40744-0025.flac):
# - 8.785 seconds long.
# - actual    text: 'the bed she too well remembered was there and above all the cabinet on which had stood the image she had taken away was still on the same spot'
# - processed text: 'the bed she too well remembered was there and about all the cabinet on which had stood the image yet taken away was still on the same spot'
# - processed in 49.525 seconds.
# - WER = 0.103
# File (5639-40744-0026.flac):
# - 14.5 seconds long.
# - actual    text: 'luis was out of danger in a fortnight in a month he rose from his bed and during all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child'
# - processed text: 'louis was out of danger in a fortnight and a month he rose from his bed and drawing all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child'
# - processed in 82.095 seconds.
# - WER = 0.064
# File (5639-40744-0027.flac):
# - 23.26 seconds long.
# - actual    text: 'thus saying and pressing the crucifix to her breast she fell fainting into the arms of dona estafania who as a gentlewoman to whose sex pity is as natural as cruelty is to man instantly pressed her lips to those of the fainting girl shedding over her so many tears that there needed no other sprinkling of water to recover leocadia from her swoon'
# - processed text: 'thus saying and pressing the crucifix to her breast she fell fainting into the arms of don estefania who was a gentle woman to whose sex pity is a natural as cruelty is to man instantly pressed her lips to those of the fainting girl shedding over her so many tears that their needed no other sprinkling of water to recover leocadia from her son'
# - processed in 131.424 seconds.
# - WER = 0.125
# File (5639-40744-0028.flac):
# - 12.25 seconds long.
# - actual    text: 'i have great things to tell you senor said dona estafania to her husband the cream and substance of which is this the fainting girl before you is your daughter and that boy is your grandson'
# - processed text: 'i have great things to tell you senor said don as a fine to her husband the cream and substance of which is this the fainting girl before you is your daughter and the boy is your grandson'
# - processed in 68.885 seconds.
# - WER = 0.139
# File (5639-40744-0029.flac):
# - 7.305 seconds long.
# - actual    text: 'this truth which i have learned from her lips is confirmed by his face in which we have both beheld that of our son'
# - processed text: 'this truth which i have learned from her lips is confirmed by his face in which we have both beheld that of our son'
# - processed in 41.328 seconds.
# - WER = 0.0
# File (5639-40744-0030.flac):
# - 22.285 seconds long.
# - actual    text: 'just then leocadia came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remained in utter bewilderment until his wife had repeated to him from beginning to end leocadia's whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies'
# - processed text: 'just then locate came to herself and embracing the cross seemed changed into a sea of tears and the gentleman remaining in a ribaulde man until his wife had repeated to him from beginning to end locates whole story and he believed it through the blessed dispensation of heaven which had confirmed it by so many convincing testimonies'
# - processed in 125.264 seconds.
# - WER = 0.121
# File (5639-40744-0031.flac):
# - 28.42 seconds long.
# - actual    text: 'so persuasive were her entreaties and so strong her assurances that no harm whatever could result to them from the information she sought they were induced to confess that one summer's night the same she had mentioned themselves and another friend being out on a stroll with rodolfo they had been concerned in the abduction of a girl whom rodolfo carried off whilst the rest of them detained her family who made a great outcry and would have defended her if they could'
# - processed text: 'so persuasive were her entreaties and so stronger assurances that no harm whatever could result to them from the information she sought they were induced to confess that one summer's night the same she had mentioned themselves in another friend being out on a stroll with rodolfo they had been concerned in the adoption of a girl whom rodolfo carried off whilst the rest of them detained her family who made a great outcry and would have defended her if they could'
# - processed in 160.969 seconds.
# - WER = 0.048
# File (5639-40744-0032.flac):
# - 17.43 seconds long.
# - actual    text: 'for god's sake my lady mother give me a wife who would be an agreeable companion not one who will disgust me so that we may both bear evenly and with mutual good will the yoke imposed on us by heaven instead of pulling this way and that way and fretting each other to death'
